"region","sector","educ","edad","ingreso","genero","experiencia","nivel_experiencia"
"Ñuble","Agricultura",12,33,520000,"F",15,"Media experiencia"
"Metropolitana","Agricultura",14,20,467000,"F",0,"Baja experiencia"
"Metropolitana","Industria",13,53,NA,"M",34,"Alta experiencia"
"Metropolitana","Construcción",7,46,363000,"M",33,"Alta experiencia"
"Ñuble","Servicios",11,39,739000,"F",22,"Alta experiencia"
"Maule","Agricultura",16,42,672000,"M",20,"Media experiencia"
"Metropolitana","Comercio",10,64,496000,"M",48,"Alta experiencia"
"Araucanía","Agricultura",7,58,180000,"F",45,"Alta experiencia"
"Metropolitana","Servicios",9,20,534000,"M",5,"Baja experiencia"
"Ñuble","Servicios",11,42,NA,"M",25,"Alta experiencia"
"Maule","Servicios",12,40,781000,"F",22,"Alta experiencia"
"Ñuble","Industria",11,52,609000,"M",35,"Alta experiencia"
"Araucanía","Comercio",9,61,583000,"M",46,"Alta experiencia"
"Ñuble","Servicios",11,69,807000,"M",52,"Alta experiencia"
"Biobío","Industria",10,31,505000,"F",15,"Media experiencia"
"Araucanía","Servicios",12,26,824000,"F",8,"Baja experiencia"
"Maule","Educación",14,55,859000,"F",35,"Alta experiencia"
"Biobío","Industria",12,23,480000,"F",5,"Baja experiencia"
"Biobío","Educación",14,68,786000,"M",48,"Alta experiencia"
"Araucanía","Construcción",11,51,659000,"F",34,"Alta experiencia"
"Ñuble","Educación",19,61,987000,"M",36,"Alta experiencia"
"Maule","Agricultura",12,45,392000,"F",27,"Alta experiencia"
"Maule","Industria",17,50,795000,"M",27,"Alta experiencia"
"Maule","Educación",14,27,934000,"M",7,"Baja experiencia"
"Metropolitana","Agricultura",18,49,619000,"F",25,"Alta experiencia"
"Maule","Servicios",17,33,819000,"M",10,"Media experiencia"
"Ñuble","Educación",20,70,1093000,"F",44,"Alta experiencia"
"Biobío","Servicios",13,53,840000,"F",34,"Alta experiencia"
"Metropolitana","Construcción",12,52,502000,"M",34,"Alta experiencia"
"Maule","Construcción",14,46,605000,"F",26,"Alta experiencia"
"Biobío","Servicios",15,39,909000,"M",18,"Media experiencia"
"Metropolitana","Servicios",11,22,712000,"M",5,"Baja experiencia"
"Ñuble","Agricultura",9,22,276000,"F",7,"Baja experiencia"
"Araucanía","Servicios",15,64,848000,"M",43,"Alta experiencia"
"Araucanía","Servicios",10,69,NA,"F",53,"Alta experiencia"
"Araucanía","Comercio",7,44,368000,"F",31,"Alta experiencia"
"Ñuble","Agricultura",8,64,386000,"F",50,"Alta experiencia"
"Biobío","Servicios",9,52,696000,"M",37,"Alta experiencia"
"Maule","Construcción",6,22,475000,"M",10,"Media experiencia"
"Metropolitana","Agricultura",17,59,609000,"M",36,"Alta experiencia"
"Ñuble","Servicios",9,44,672000,"M",29,"Alta experiencia"
"Araucanía","Agricultura",14,42,497000,"M",22,"Alta experiencia"
"Araucanía","Comercio",20,62,723000,"F",36,"Alta experiencia"
"Metropolitana","Educación",16,27,948000,"F",5,"Baja experiencia"
"Ñuble","Industria",11,65,689000,"M",48,"Alta experiencia"
"Araucanía","Industria",13,21,729000,"M",2,"Baja experiencia"
"Biobío","Agricultura",13,61,388000,"M",42,"Alta experiencia"
"Metropolitana","Servicios",15,57,959000,"M",36,"Alta experiencia"
"Metropolitana","Industria",13,34,805000,"F",15,"Media experiencia"
"Biobío","Comercio",10,26,384000,"F",10,"Media experiencia"
"Maule","Agricultura",9,47,226000,"M",32,"Alta experiencia"
"Ñuble","Agricultura",11,50,590000,"M",33,"Alta experiencia"
"Ñuble","Servicios",15,36,954000,"F",15,"Media experiencia"
"Maule","Industria",13,60,NA,"M",41,"Alta experiencia"
"Ñuble","Servicios",15,25,735000,"F",4,"Baja experiencia"
"Biobío","Comercio",12,56,589000,"F",38,"Alta experiencia"
"Maule","Industria",16,34,694000,"F",12,"Media experiencia"
"Ñuble","Educación",18,35,NA,"F",11,"Media experiencia"
"Biobío","Educación",15,28,755000,"F",7,"Baja experiencia"
"Araucanía","Industria",17,25,975000,"M",2,"Baja experiencia"
