"region","sector","genero","educ","edad","horas","ing_trabajo","ing_capital","ing_subsidios","ing_total"
"Ñuble","Agricultura","F",12,33,46,470000,0,50000,520000
"Metropolitana","Agricultura","F",14,20,34,434000,0,33000,467000
"Metropolitana","Industria","M",13,53,43,NA,NA,NA,NA
"Metropolitana","Construcción","M",7,46,41,319000,0,44000,363000
"Ñuble","Servicios","F",11,39,37,739000,0,0,739000
"Maule","Agricultura","M",16,42,24,672000,0,0,672000
"Metropolitana","Comercio","M",10,64,37,451000,0,45000,496000
"Araucanía","Agricultura","F",7,58,35,163000,0,17000,180000
"Metropolitana","Servicios","M",9,20,43,5e+05,0,34000,534000
"Ñuble","Servicios","M",11,42,39,NA,NA,NA,NA
"Maule","Servicios","F",12,40,39,781000,0,0,781000
"Ñuble","Industria","M",11,52,37,609000,0,0,609000
"Araucanía","Comercio","M",9,61,40,546000,0,37000,583000
"Ñuble","Servicios","M",11,69,40,693000,114000,0,807000
"Biobío","Industria","F",10,31,24,439000,0,66000,505000
"Araucanía","Servicios","F",12,26,51,758000,66000,0,824000
"Maule","Educación","F",14,55,46,804000,55000,0,859000
"Biobío","Industria","F",12,23,44,432000,0,48000,480000
"Biobío","Educación","M",14,68,36,786000,0,0,786000
"Araucanía","Construcción","F",11,51,47,659000,0,0,659000
"Ñuble","Educación","M",19,61,40,850000,137000,0,987000
"Maule","Agricultura","F",12,45,41,360000,0,32000,392000
"Maule","Industria","M",17,50,32,795000,0,0,795000
"Maule","Educación","M",14,27,52,797000,137000,0,934000
"Metropolitana","Agricultura","F",18,49,42,619000,0,0,619000
"Maule","Servicios","M",17,33,55,717000,102000,0,819000
"Ñuble","Educación","F",20,70,54,1024000,69000,0,1093000
"Biobío","Servicios","F",13,53,42,717000,123000,0,840000
"Metropolitana","Construcción","M",12,52,47,445000,0,57000,502000
"Maule","Construcción","F",14,46,54,566000,0,39000,605000
"Biobío","Servicios","M",15,39,38,799000,110000,0,909000
"Metropolitana","Servicios","M",11,22,43,712000,0,0,712000
"Ñuble","Agricultura","F",9,22,40,238000,0,38000,276000
"Araucanía","Servicios","M",15,64,44,799000,49000,0,848000
"Araucanía","Servicios","F",10,69,43,NA,NA,NA,NA
"Araucanía","Comercio","F",7,44,50,324000,0,44000,368000
"Ñuble","Agricultura","F",8,64,46,352000,0,34000,386000
"Biobío","Servicios","M",9,52,36,696000,0,0,696000
"Maule","Construcción","M",6,22,46,417000,0,58000,475000
"Metropolitana","Agricultura","M",17,59,36,609000,0,0,609000
"Ñuble","Servicios","M",9,44,34,672000,0,0,672000
"Araucanía","Agricultura","M",14,42,47,447000,0,50000,497000
"Araucanía","Comercio","F",20,62,34,723000,0,0,723000
"Metropolitana","Educación","F",16,27,44,830000,118000,0,948000
"Ñuble","Industria","M",11,65,36,689000,0,0,689000
"Araucanía","Industria","M",13,21,52,729000,0,0,729000
"Biobío","Agricultura","M",13,61,47,363000,0,25000,388000
"Metropolitana","Servicios","M",15,57,39,898000,61000,0,959000
"Metropolitana","Industria","F",13,34,48,805000,0,0,805000
"Biobío","Comercio","F",10,26,45,358000,0,26000,384000
"Maule","Agricultura","M",9,47,34,198000,0,28000,226000
"Ñuble","Agricultura","M",11,50,41,520000,0,70000,590000
"Ñuble","Servicios","F",15,36,35,869000,85000,0,954000
"Maule","Industria","M",13,60,45,NA,NA,NA,NA
"Ñuble","Servicios","F",15,25,37,735000,0,0,735000
"Biobío","Comercio","F",12,56,40,527000,0,62000,589000
"Maule","Industria","F",16,34,33,694000,0,0,694000
"Ñuble","Educación","F",18,35,35,NA,NA,NA,NA
"Biobío","Educación","F",15,28,43,755000,0,0,755000
"Araucanía","Industria","M",17,25,35,839000,136000,0,975000
