region,sector,educ,edad,ingreso,genero
Ñuble,Agricultura,12,33,520000,F
Metropolitana,Agricultura,14,20,467000,F
Metropolitana,Industria,13,53,,M
Metropolitana,Construcción,7,46,363000,M
Ñuble,Servicios,11,39,739000,F
Maule,Agricultura,16,42,672000,M
Metropolitana,Comercio,10,64,496000,M
Araucanía,Agricultura,7,58,180000,F
Metropolitana,Servicios,9,20,534000,M
Ñuble,Servicios,11,42,,M
Maule,Servicios,12,40,781000,F
Ñuble,Industria,11,52,609000,M
Araucanía,Comercio,9,61,583000,M
Ñuble,Servicios,11,69,807000,M
Biobío,Industria,10,31,505000,F
Araucanía,Servicios,12,26,824000,F
Maule,Educación,14,55,859000,F
Biobío,Industria,12,23,480000,F
Biobío,Educación,14,68,786000,M
Araucanía,Construcción,11,51,659000,F
Ñuble,Educación,19,61,987000,M
Maule,Agricultura,12,45,392000,F
Maule,Industria,17,50,795000,M
Maule,Educación,14,27,934000,M
Metropolitana,Agricultura,18,49,619000,F
Maule,Servicios,17,33,819000,M
Ñuble,Educación,20,70,1093000,F
Biobío,Servicios,13,53,840000,F
Metropolitana,Construcción,12,52,502000,M
Maule,Construcción,14,46,605000,F
Biobío,Servicios,15,39,909000,M
Metropolitana,Servicios,11,22,712000,M
Ñuble,Agricultura,9,22,276000,F
Araucanía,Servicios,15,64,848000,M
Araucanía,Servicios,10,69,,F
Araucanía,Comercio,7,44,368000,F
Ñuble,Agricultura,8,64,386000,F
Biobío,Servicios,9,52,696000,M
Maule,Construcción,6,22,475000,M
Metropolitana,Agricultura,17,59,609000,M
Ñuble,Servicios,9,44,672000,M
Araucanía,Agricultura,14,42,497000,M
Araucanía,Comercio,20,62,723000,F
Metropolitana,Educación,16,27,948000,F
Ñuble,Industria,11,65,689000,M
Araucanía,Industria,13,21,729000,M
Biobío,Agricultura,13,61,388000,M
Metropolitana,Servicios,15,57,959000,M
Metropolitana,Industria,13,34,805000,F
Biobío,Comercio,10,26,384000,F
Maule,Agricultura,9,47,226000,M
Ñuble,Agricultura,11,50,590000,M
Ñuble,Servicios,15,36,954000,F
Maule,Industria,13,60,,M
Ñuble,Servicios,15,25,735000,F
Biobío,Comercio,12,56,589000,F
Maule,Industria,16,34,694000,F
Ñuble,Educación,18,35,,F
Biobío,Educación,15,28,755000,F
Araucanía,Industria,17,25,975000,M
